,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
192607,1.0874,0.9081,-0.0695,5.7168,1.8971,2.0066
192608,0.7030,1.5075,5.3842,2.7154,2.7196,5.6796
192609,-2.9117,-0.1359,-0.4374,1.4287,0.0808,-0.7928
192610,-3.8196,-4.3572,-2.0112,-3.5898,-2.3377,-3.9998
192611,3.1806,3.6608,2.0944,3.1292,2.9242,3.1934
192612,2.6862,1.8411,3.2639,2.9678,2.6214,2.2990
192701,-0.7991,-0.3782,3.9316,-0.2621,0.0321,4.0885
192702,3.7129,6.3784,6.6192,5.0044,3.5850,7.9880
192703,-1.8324,-0.9889,-3.1676,1.3025,0.2527,-2.5908
192704,-1.6710,0.8741,3.4796,3.0510,-0.7745,-0.4809
192705,5.4766,3.3467,13.3256,5.4076,5.1414,7.0144
192706,-1.5481,1.3040,-3.9474,-0.9628,-2.9766,-2.0151
192707,4.2702,5.2347,3.9846,9.2637,6.7228,7.2603
192708,2.4503,-2.2044,0.8600,3.9309,1.2184,-1.9651
192709,2.2496,2.2316,0.3990,5.3697,4.4213,5.9674
192710,-0.2072,-2.1458,-5.8357,-3.5889,-4.3444,-6.6219
192711,10.3238,8.0620,10.2275,7.0845,6.7295,6.6346
192712,5.7010,2.6016,2.4506,2.4925,1.8620,3.4755
192801,3.2211,2.7804,3.5948,-0.4427,-0.4160,-2.3168
192802,-4.8858,-1.7203,-4.1271,-0.6772,-1.1358,-2.7296
192803,7.3978,8.6229,9.4570,12.3241,6.1000,7.8254
192804,4.6650,10.6845,9.9723,2.9336,5.9573,4.4979
192805,7.1742,1.9540,2.5740,2.5750,-0.0551,0.6388
192806,-8.5829,-8.3044,-6.8294,-3.6040,-4.1281,-5.4164
192807,-0.4048,-0.3636,-0.8867,1.3590,0.1188,0.8312
192808,6.1240,4.9813,3.6990,8.7368,5.3973,6.8565
192809,5.7317,4.4758,6.1762,2.9576,1.9499,4.2317
192810,6.8299,3.1376,1.6621,1.3590,1.4018,2.1979
192811,8.6705,11.1328,12.2831,11.1602,13.3096,12.9505
192812,0.9055,-0.6882,-0.6462,0.9332,0.0161,1.1879
192901,-0.0340,1.8500,1.4480,6.5262,4.8424,2.5673
192902,0.7414,1.1026,0.3820,-0.5791,0.8461,3.0915
192903,-5.9533,-3.4099,-4.0571,-1.3835,2.2220,-0.1243
192904,-0.0822,2.8082,0.5004,2.2172,1.1121,2.8080
192905,-10.2009,-9.4284,-12.5598,-5.7297,-4.1510,-6.2127
192906,6.9673,9.3803,6.4064,12.4593,9.3568,7.4384
192907,-0.0602,-0.6367,3.8633,3.5656,6.1840,5.0527
192908,-0.7741,-0.5429,-0.4544,7.2720,12.5074,7.2052
192909,-4.2711,-4.2824,-3.6218,-4.4211,-4.9529,-6.3661
192910,-21.5559,-19.2947,-19.8329,-24.1865,-14.1137,-10.3484
192911,-16.1934,-9.7481,-12.3366,-14.2535,-10.8726,-8.0015
192912,-2.7485,-3.5662,-1.8488,3.3988,0.5251,1.4208
193001,6.0455,9.5581,8.4631,7.1735,3.4044,2.8433
193002,1.7451,1.0483,4.3779,3.4639,1.9031,1.2229
193003,8.6368,11.3525,10.7647,6.8160,8.3584,5.3421
193004,-7.0717,-1.2287,-3.4814,-2.3610,-1.7133,-6.6589
193005,-3.6161,-2.4200,-2.9578,0.7061,-2.2640,-1.4054
193006,-17.4935,-16.4711,-18.9287,-17.8490,-13.1445,-11.7533
193007,6.5208,3.7280,2.4342,4.7058,3.5492,5.2830
193008,-3.7646,-1.6135,-2.2723,1.0169,-0.6600,-1.6956
193009,-13.6823,-14.6721,-18.7882,-12.3871,-10.9161,-17.1944
193010,-10.1007,-7.6801,-10.6915,-9.3455,-7.2651,-11.5093
193011,0.2231,-2.7838,-2.7361,-2.1847,-3.2674,-6.5408
193012,-10.4113,-11.0266,-17.2050,-6.0724,-9.0010,-9.7812
193101,9.8982,11.3602,14.9795,4.5109,7.7112,13.6747
193102,13.1802,11.6577,17.4089,12.5110,6.8404,12.1228
193103,-4.3393,-2.9204,-7.1311,-4.7492,-9.7586,-8.8363
193104,-12.8802,-14.0212,-17.9722,-8.9215,-11.1441,-11.4677
193105,-9.6516,-8.7006,-13.8027,-11.3507,-16.5104,-20.3470
193106,10.1107,7.7295,20.5193,13.0405,16.0603,25.2073
193107,-8.5867,-8.9411,-5.7543,-5.1707,-10.1715,-12.2143
193108,-1.6114,-1.1797,-3.7141,0.9000,-1.6015,0.0531
193109,-26.5722,-30.0521,-33.8737,-28.8663,-28.1507,-35.1131
193110,4.2319,9.2071,5.4616,9.5453,3.2371,11.7214
193111,-7.7335,-7.2915,-9.3774,-6.1307,-16.6377,-14.5665
193112,-13.7987,-16.5088,-22.3956,-11.5730,-18.8098,-20.6686
193201,2.4924,3.9264,10.4927,-3.4315,1.9073,6.6353
193202,-2.4754,1.9822,1.3694,7.1096,1.7467,0.3507
193203,-10.5259,-12.1366,-10.6200,-10.2077,-15.1285,-14.7460
193204,-19.3072,-17.1449,-16.0307,-18.1229,-20.1679,-18.5418
193205,-17.1387,-24.8400,-16.8918,-19.2221,-25.9463,-25.4360
193206,0.9540,6.2481,0.9934,-1.7165,0.0814,8.8476
193207,31.5257,36.1125,63.1945,28.1983,48.6550,67.7486
193208,46.2878,55.3725,83.4957,31.3379,50.9716,62.6122
193209,-1.6614,-4.5841,-12.4928,-1.0435,-6.5249,-4.9399
193210,-15.8052,-19.6450,-23.8446,-10.7558,-17.4936,-23.3789
193211,-0.4275,-8.2786,-13.1841,-2.7209,-8.9758,-16.1940
193212,-6.9549,-4.2529,-11.1120,6.8555,1.1781,-4.4353
193301,5.0090,1.3914,8.0450,-0.0131,2.9071,9.6714
193302,-17.3761,-18.4137,-20.8620,-14.9526,-16.5842,-17.3652
193303,6.8621,6.1577,16.0253,0.9600,9.8378,6.8707
193304,40.7625,54.8024,56.5968,33.7660,51.9421,57.2289
193305,59.5730,62.1965,73.3276,16.9982,26.8017,41.6305
193306,32.7005,23.3035,18.3240,11.3873,15.4727,22.2102
193307,-14.1385,-12.9092,-7.2303,-8.8583,-13.0471,-9.2208
193308,10.5585,10.2007,8.2846,10.5958,15.7644,18.8615
193309,-7.6121,-13.5955,-20.8570,-9.1454,-12.3456,-19.3866
193310,-8.4949,-12.5408,-14.0569,-6.1614,-10.5774,-17.7448
193311,4.4492,4.6892,6.0824,9.6900,12.2601,12.6924
193312,4.7702,4.0074,0.4100,2.1093,1.8435,3.3536
193401,21.5203,28.9416,38.4208,9.8669,16.8167,24.1368
193402,-0.2935,1.1685,5.1400,-2.3815,-3.1075,-3.8100
193403,4.7722,2.0058,-0.0115,-0.0029,-0.1305,-0.6200
193404,2.8356,-1.5590,-1.7852,-1.7780,-2.2930,-4.6160
193405,-7.3381,-10.0309,-12.0106,-6.4033,-8.5814,-13.5106
193406,3.7672,-0.0904,-2.3777,2.6280,2.4902,2.8615
193407,-18.0226,-21.4847,-24.5454,-8.3110,-11.7051,-23.1790
193408,10.9235,10.0385,11.4130,6.0718,4.4235,5.7691
193409,-0.9255,-0.6567,-3.4898,-0.2597,-0.1502,-0.1050
193410,-0.9250,-1.7238,-4.1267,-0.4115,-2.7071,-7.3690
193411,17.4218,15.2421,12.6990,10.2402,5.0160,10.6573
193412,4.9409,1.6541,1.6419,0.7507,0.5327,-2.2372
193501,-5.5523,-3.3758,-3.0507,-3.0099,-2.8805,-9.3128
193502,-3.5225,-4.6296,-6.2649,-0.8581,-1.6813,-12.9875
193503,-5.9234,-7.5213,-11.3866,-2.9715,-3.3285,-7.7499
193504,6.7174,9.2068,10.6336,8.0311,9.8882,13.0598
193505,-2.6657,2.2586,1.8238,3.1370,4.3394,3.9570
193506,5.8129,5.8393,0.7292,6.3821,5.6132,8.0813
193507,9.6466,12.7584,13.5159,6.9882,6.3196,16.9724
193508,3.6270,8.9078,14.5997,2.5694,2.2001,3.7559
193509,5.0664,5.5521,0.4572,4.6757,0.6768,1.1354
193510,11.0819,10.7386,6.9363,6.6016,7.9769,6.0130
193511,6.8537,10.3811,19.5176,3.0389,5.6087,14.4929
193512,5.8168,10.2031,1.9862,2.9835,5.8064,8.7119
193601,10.6869,7.7125,22.3858,3.2881,9.5299,12.2659
193602,2.3177,6.4961,6.0122,1.9137,2.8060,7.2460
193603,0.2531,2.4157,1.0469,2.6378,0.0632,-1.0405
193604,-14.3456,-14.0490,-15.5467,-7.1563,-8.3505,-10.2541
193605,5.0647,5.5552,8.8137,5.0578,5.1107,6.5348
193606,-2.1381,-0.2916,-1.1580,3.6325,2.1402,0.2455
193607,10.6162,7.6109,9.1117,5.9223,6.1944,12.2302
193608,0.6495,2.3128,4.2542,0.2957,0.7751,4.3352
193609,2.2001,5.0224,4.4729,0.9204,1.1017,0.4389
193610,3.7228,6.4549,6.4085,6.4131,8.8046,8.6681
193611,10.8600,9.1670,12.3194,3.3840,3.1595,-0.4940
193612,2.0887,3.4888,7.8447,-1.8229,2.3315,1.0214
193701,7.2377,7.3811,9.7396,3.6113,1.3942,6.3255
193702,3.2555,1.7107,5.7398,-0.2074,0.7979,6.9733
193703,-3.0335,-0.0671,2.1573,-1.7368,-0.2135,6.0777
193704,-10.1096,-11.6098,-13.4753,-6.8185,-6.1171,-10.7653
193705,-0.3784,-0.9887,-4.1217,0.2448,-0.7188,-2.9785
193706,-7.2258,-7.7359,-10.6078,-4.1508,-2.7127,-7.4383
193707,10.9496,9.0498,10.7965,9.2027,7.9624,10.9736
193708,-4.6506,-5.0111,-5.5952,-4.2100,-4.5881,-7.7724
193709,-20.8407,-21.0548,-23.0629,-12.3496,-12.4016,-19.2657
193710,-10.8050,-10.4704,-9.6555,-10.1749,-7.5734,-14.4157
193711,-11.5365,-12.0400,-11.8188,-8.7393,-7.7040,-8.1625
193712,-14.1024,-10.5559,-12.2871,-4.1175,-2.8797,-6.7316
