Date,HIT_VaR_FHS
1990-01-25,0.0
1990-02-08,0.0
1990-02-22,1.0
1990-03-08,0.0
1990-03-22,0.0
1990-04-05,0.0
1990-04-19,1.0
1990-05-03,0.0
1990-05-17,0.0
1990-05-31,0.0
1990-06-14,0.0
1990-06-28,1.0
1990-07-12,0.0
1990-07-26,0.0
1990-08-09,0.0
1990-08-23,1.0
1990-09-06,0.0
1990-09-20,0.0
1990-10-04,0.0
1990-10-18,0.0
1990-11-01,0.0
1990-11-15,0.0
1990-11-29,0.0
1990-12-13,0.0
1990-12-27,0.0
1991-01-10,1.0
1991-01-24,0.0
1991-02-07,0.0
1991-02-21,0.0
1991-03-07,0.0
1991-03-21,0.0
1991-04-04,0.0
1991-04-18,0.0
1991-05-02,0.0
1991-05-16,0.0
1991-05-30,0.0
1991-06-13,0.0
1991-06-27,0.0
1991-07-11,0.0
1991-07-25,0.0
1991-08-08,0.0
1991-08-22,0.0
1991-09-05,0.0
1991-09-19,0.0
1991-10-03,0.0
1991-10-17,0.0
1991-10-31,0.0
1991-11-14,0.0
1991-11-28,0.0
1991-12-12,0.0
1991-12-26,1.0
1992-01-09,0.0
1992-01-23,0.0
1992-02-06,0.0
1992-02-20,1.0
1992-03-05,0.0
1992-03-19,0.0
1992-04-02,0.0
1992-04-16,0.0
1992-04-30,0.0
1992-05-14,0.0
1992-05-28,0.0
1992-06-11,0.0
1992-06-25,0.0
1992-07-09,0.0
1992-07-23,0.0
1992-08-06,0.0
1992-08-20,1.0
1992-09-03,0.0
1992-09-17,0.0
1992-10-01,0.0
1992-10-15,0.0
1992-10-29,0.0
1992-11-12,0.0
1992-11-26,0.0
1992-12-10,0.0
1992-12-24,0.0
1993-01-07,0.0
1993-01-21,0.0
1993-02-04,0.0
1993-02-18,0.0
1993-03-04,0.0
1993-03-18,0.0
1993-04-01,0.0
1993-04-15,0.0
1993-04-29,0.0
1993-05-13,0.0
1993-05-27,0.0
1993-06-10,0.0
1993-06-24,0.0
1993-07-08,0.0
1993-07-22,0.0
1993-08-05,0.0
1993-08-19,0.0
1993-09-02,1.0
1993-09-16,0.0
1993-09-30,0.0
1993-10-14,0.0
1993-10-28,0.0
1993-11-11,0.0
1993-11-25,0.0
1993-12-09,0.0
1993-12-23,0.0
1994-01-06,0.0
1994-01-20,0.0
1994-02-03,0.0
1994-02-17,0.0
1994-03-03,0.0
1994-03-17,0.0
1994-03-31,0.0
1994-04-14,0.0
1994-04-28,0.0
1994-05-12,0.0
1994-05-26,0.0
1994-06-09,0.0
1994-06-23,0.0
1994-07-07,0.0
1994-07-21,0.0
1994-08-04,0.0
1994-08-18,0.0
1994-09-01,0.0
1994-09-15,0.0
1994-09-29,0.0
1994-10-13,0.0
1994-10-27,0.0
1994-11-10,0.0
1994-11-24,0.0
1994-12-08,0.0
1994-12-22,0.0
1995-01-05,1.0
1995-01-19,0.0
1995-02-02,0.0
1995-02-16,0.0
1995-03-02,0.0
1995-03-16,0.0
1995-03-30,0.0
1995-04-13,0.0
1995-04-27,0.0
1995-05-11,0.0
1995-05-25,0.0
1995-06-08,0.0
1995-06-22,0.0
1995-07-06,0.0
1995-07-20,0.0
1995-08-03,0.0
1995-08-17,0.0
1995-08-31,0.0
1995-09-14,0.0
1995-09-28,0.0
1995-10-12,0.0
1995-10-26,0.0
1995-11-09,0.0
1995-11-23,0.0
1995-12-07,0.0
1995-12-21,1.0
1996-01-04,0.0
1996-01-18,0.0
1996-02-01,0.0
1996-02-15,0.0
1996-02-29,0.0
1996-03-14,0.0
1996-03-28,0.0
1996-04-11,0.0
1996-04-25,0.0
1996-05-09,0.0
1996-05-23,0.0
1996-06-06,0.0
1996-06-20,0.0
1996-07-04,0.0
1996-07-18,0.0
1996-08-01,0.0
1996-08-15,0.0
1996-08-29,1.0
1996-09-12,0.0
1996-09-26,0.0
1996-10-10,0.0
1996-10-24,0.0
1996-11-07,1.0
1996-11-21,0.0
1996-12-05,0.0
1996-12-19,0.0
1997-01-02,0.0
1997-01-16,0.0
1997-01-30,0.0
1997-02-13,0.0
1997-02-27,0.0
1997-03-13,0.0
1997-03-27,0.0
1997-04-10,0.0
1997-04-24,0.0
1997-05-08,0.0
1997-05-22,0.0
1997-06-05,0.0
1997-06-19,0.0
1997-07-03,0.0
1997-07-17,0.0
1997-07-31,0.0
1997-08-14,0.0
1997-08-28,0.0
1997-09-11,0.0
1997-09-25,1.0
1997-10-09,0.0
1997-10-23,0.0
1997-11-06,1.0
1997-11-20,1.0
1997-12-04,1.0
1997-12-18,0.0
1998-01-01,0.0
1998-01-15,0.0
1998-01-29,0.0
1998-02-12,0.0
1998-02-26,0.0
1998-03-12,0.0
1998-03-26,0.0
1998-04-09,0.0
1998-04-23,0.0
1998-05-07,0.0
1998-05-21,0.0
1998-06-04,0.0
1998-06-18,0.0
1998-07-02,0.0
1998-07-16,0.0
1998-07-30,0.0
1998-08-13,1.0
1998-08-27,0.0
1998-09-10,0.0
1998-09-24,0.0
1998-10-08,0.0
1998-10-22,0.0
1998-11-05,0.0
1998-11-19,0.0
1998-12-03,0.0
1998-12-17,0.0
1998-12-31,0.0
1999-01-14,0.0
1999-01-28,0.0
1999-02-11,0.0
1999-02-25,0.0
1999-03-11,0.0
1999-03-25,0.0
1999-04-08,0.0
1999-04-22,0.0
1999-05-06,0.0
1999-05-20,0.0
1999-06-03,0.0
1999-06-17,0.0
1999-07-01,0.0
1999-07-15,0.0
1999-07-29,0.0
1999-08-12,0.0
1999-08-26,0.0
1999-09-09,0.0
1999-09-23,0.0
1999-10-07,0.0
1999-10-21,0.0
1999-11-04,0.0
1999-11-18,0.0
1999-12-02,0.0
1999-12-16,0.0
1999-12-30,0.0
2000-01-13,0.0
2000-01-27,0.0
2000-02-10,0.0
2000-02-24,0.0
2000-03-09,0.0
2000-03-23,0.0
2000-04-06,0.0
2000-04-20,0.0
2000-05-04,0.0
2000-05-18,0.0
2000-06-01,0.0
2000-06-15,0.0
2000-06-29,0.0
2000-07-13,0.0
2000-07-27,1.0
2000-08-10,0.0
2000-08-24,0.0
2000-09-07,0.0
2000-09-21,0.0
2000-10-05,0.0
2000-10-19,1.0
2000-11-02,0.0
2000-11-16,0.0
2000-11-30,0.0
2000-12-14,0.0
2000-12-28,0.0
2001-01-11,0.0
2001-01-25,0.0
2001-02-08,0.0
2001-02-22,0.0
2001-03-08,0.0
2001-03-22,0.0
2001-04-05,0.0
2001-04-19,0.0
2001-05-03,0.0
2001-05-17,0.0
2001-05-31,0.0
2001-06-14,0.0
2001-06-28,0.0
2001-07-12,0.0
2001-07-26,0.0
2001-08-09,0.0
2001-08-23,0.0
2001-09-06,0.0
2001-09-20,1.0
2001-10-04,0.0
2001-10-18,0.0
2001-11-01,0.0
2001-11-15,0.0
2001-11-29,0.0
2001-12-13,0.0
2001-12-27,0.0
2002-01-10,0.0
2002-01-24,0.0
2002-02-07,0.0
2002-02-21,0.0
2002-03-07,0.0
2002-03-21,0.0
2002-04-04,0.0
2002-04-18,0.0
2002-05-02,0.0
2002-05-16,0.0
2002-05-30,0.0
2002-06-13,0.0
2002-06-27,1.0
2002-07-11,0.0
2002-07-25,0.0
2002-08-08,0.0
2002-08-22,0.0
2002-09-05,0.0
2002-09-19,0.0
2002-10-03,0.0
2002-10-17,0.0
2002-10-31,0.0
2002-11-14,0.0
2002-11-28,0.0
2002-12-12,0.0
2002-12-26,0.0
2003-01-09,0.0
2003-01-23,0.0
2003-02-06,0.0
2003-02-20,0.0
2003-03-06,0.0
2003-03-20,0.0
2003-04-03,0.0
2003-04-17,0.0
2003-05-01,0.0
2003-05-15,0.0
2003-05-29,0.0
2003-06-12,0.0
2003-06-26,0.0
2003-07-10,0.0
2003-07-24,0.0
2003-08-07,0.0
2003-08-21,0.0
2003-09-04,0.0
2003-09-18,0.0
2003-10-02,0.0
2003-10-16,0.0
2003-10-30,0.0
2003-11-13,0.0
2003-11-27,0.0
2003-12-11,0.0
2003-12-25,0.0
2004-01-08,0.0
2004-01-22,0.0
2004-02-05,0.0
2004-02-19,0.0
2004-03-04,0.0
2004-03-18,0.0
2004-04-01,0.0
2004-04-15,0.0
2004-04-29,0.0
2004-05-13,1.0
2004-05-27,0.0
2004-06-10,0.0
2004-06-24,0.0
2004-07-08,0.0
2004-07-22,0.0
2004-08-05,0.0
2004-08-19,0.0
2004-09-02,0.0
2004-09-16,0.0
2004-09-30,0.0
2004-10-14,0.0
2004-10-28,0.0
2004-11-11,0.0
2004-11-25,0.0
2004-12-09,0.0
2004-12-23,0.0
2005-01-06,0.0
2005-01-20,0.0
2005-02-03,0.0
2005-02-17,0.0
2005-03-03,0.0
2005-03-17,0.0
2005-03-31,0.0
2005-04-14,0.0
2005-04-28,0.0
2005-05-12,0.0
2005-05-26,0.0
2005-06-09,0.0
2005-06-23,0.0
2005-07-07,0.0
2005-07-21,0.0
2005-08-04,0.0
2005-08-18,0.0
2005-09-01,0.0
2005-09-15,0.0
2005-09-29,0.0
2005-10-13,0.0
2005-10-27,0.0
2005-11-10,0.0
2005-11-24,0.0
2005-12-08,0.0
2005-12-22,0.0
2006-01-05,0.0
2006-01-19,0.0
2006-02-02,0.0
2006-02-16,0.0
2006-03-02,0.0
2006-03-16,0.0
2006-03-30,0.0
2006-04-13,0.0
2006-04-27,0.0
2006-05-11,0.0
2006-05-25,1.0
2006-06-08,0.0
2006-06-22,0.0
2006-07-06,0.0
2006-07-20,0.0
2006-08-03,0.0
2006-08-17,0.0
2006-08-31,0.0
2006-09-14,0.0
2006-09-28,0.0
2006-10-12,0.0
2006-10-26,0.0
2006-11-09,0.0
2006-11-23,0.0
2006-12-07,0.0
2006-12-21,0.0
2007-01-04,0.0
2007-01-18,0.0
2007-02-01,0.0
2007-02-15,0.0
2007-03-01,0.0
2007-03-15,0.0
2007-03-29,0.0
2007-04-12,0.0
2007-04-26,0.0
2007-05-10,0.0
2007-05-24,0.0
2007-06-07,0.0
2007-06-21,0.0
2007-07-05,0.0
2007-07-19,0.0
2007-08-02,1.0
