,HML
192607,-2.43
192608,3.82
192609,0.13
192610,0.70
192611,-0.51
192612,-0.05
192701,4.54
192702,2.94
192703,-2.61
192704,0.81
192705,4.73
192706,-1.73
192707,-1.14
192708,-3.74
192709,-0.63
192710,-4.33
192711,-0.27
192712,-1.13
192801,-0.75
192802,-0.65
192803,-1.22
192804,3.44
192805,-3.27
192806,-0.03
192807,-0.50
192808,-2.15
192809,0.86
192810,-2.16
192811,2.70
192812,-0.65
192901,-1.24
192902,1.66
192903,1.58
192904,0.59
192905,-1.42
192906,-2.79
192907,2.71
192908,0.13
192909,-0.65
192910,7.78
192911,5.05
192912,-0.54
193001,-0.96
193002,0.20
193003,0.33
193004,-0.35
193005,-0.73
193006,2.33
193007,-1.75
193008,-0.61
193009,-4.96
193010,-1.38
193011,-3.66
193012,-5.25
193101,7.12
193102,1.92
193103,-3.44
193104,-3.82
193105,-6.57
193106,11.29
193107,-2.11
193108,-1.47
193109,-6.77
193110,1.70
193111,-5.04
193112,-8.85
193201,9.03
193202,-1.46
193203,-2.32
193204,1.43
193205,-2.98
193206,5.30
193207,35.61
193208,34.24
193209,-7.36
193210,-10.33
193211,-13.11
193212,-7.72
193301,6.36
193302,-2.95
193303,7.54
193304,19.65
193305,19.19
193306,-1.78
193307,3.27
193308,3.00
193309,-11.74
193310,-8.57
193311,2.32
193312,-1.56
193401,15.59
193402,2.00
193403,-2.70
193404,-3.73
193405,-5.89
193406,-2.96
193407,-10.70
193408,0.09
193409,-1.20
193410,-5.08
193411,-2.15
193412,-3.14
193501,-1.90
193502,-7.44
193503,-5.12
193504,4.47
193505,2.65
193506,-1.69
193507,6.93
193508,6.08
193509,-4.07
193510,-2.37
193511,12.06
193512,0.95
193601,10.34
193602,4.51
193603,-1.44
193604,-2.15
193605,2.61
193606,-1.20
193607,2.40
193608,3.82
193609,0.90
193610,2.47
193611,-1.21
193612,4.30
193701,2.61
193702,4.83
193703,6.50
193704,-3.66
193705,-3.48
193706,-3.33
193707,0.81
193708,-2.25
193709,-4.57
193710,-1.55
193711,0.15
193712,-0.40
193801,-1.61
193802,-2.02
193803,-3.54
193804,0.23
193805,-0.27
193806,0.32
193807,2.20
193808,-4.72
193809,-1.62
193810,5.03
193811,-1.22
193812,0.53
193901,-3.94
193902,2.95
193903,-8.31
193904,-0.30
193905,0.49
193906,-5.42
193907,-0.03
193908,-2.42
193909,22.22
193910,-4.89
193911,-6.46
193912,-4.06
194001,-0.81
194002,-0.33
194003,-1.27
194004,-0.13
194005,-3.69
194006,4.62
194007,-0.74
194008,0.56
194009,-1.13
194010,4.64
194011,0.12
194012,-0.89
194101,3.83
194102,0.89
194103,3.04
194104,3.41
194105,0.60
194106,0.59
194107,7.25
194108,-1.10
194109,-0.28
194110,1.63
194111,-0.64
194112,-5.94
194201,10.10
194202,-1.13
194203,-0.62
194204,2.09
194205,-2.65
194206,0.54
194207,2.40
194208,1.35
194209,2.35
194210,6.39
194211,-4.21
194212,0.58
194301,8.18
194302,6.40
194303,5.48
194304,5.82
194305,3.25
194306,-0.70
194307,-2.29
194308,-0.43
194309,1.43
194310,1.64
194311,-4.02
194312,3.24
194401,2.16
194402,0.84
194403,3.43
194404,-1.14
194405,1.04
194406,1.75
194407,-0.42
194408,-1.49
194409,-1.16
194410,-0.33
194411,2.38
194412,5.91
194501,0.67
194502,4.34
194503,-1.74
194504,3.24
194505,0.36
194506,4.21
194507,-2.62
194508,-4.27
194509,0.42
194510,2.13
194511,3.96
194512,-2.28
194601,2.48
194602,-1.46
194603,-0.54
194604,0.32
194605,1.28
194606,-0.39
194607,0.07
194608,0.55
194609,-1.92
194610,3.46
194611,1.47
194612,-1.36
194701,-0.73
194702,0.15
194703,0.61
194704,0.85
194705,0.33
194706,-0.59
194707,2.82
194708,0.18
194709,1.36
194710,0.07
194711,1.10
194712,3.71
194801,1.39
194802,0.07
194803,4.50
194804,4.11
194805,-1.27
194806,2.81
194807,0.14
194808,0.28
194809,-1.71
194810,0.58
194811,-4.13
194812,-1.94
194901,1.23
194902,-0.86
194903,1.29
194904,-1.13
194905,-2.37
194906,-1.65
194907,0.37
194908,-0.55
194909,0.19
194910,-0.48
194911,-0.96
194912,1.77
195001,0.12
195002,-0.79
195003,-2.81
195004,1.30
195005,0.46
195006,-0.70
195007,13.56
195008,-1.50
195009,-1.07
195010,1.30
195011,3.33
195012,7.36
195101,3.64
195102,-2.85
195103,-4.10
195104,3.27
195105,-1.37
195106,-3.75
195107,2.06
195108,-0.13
195109,0.63
195110,0.23
195111,-0.06
195112,-1.59
195201,1.55
195202,-0.61
195203,2.17
195204,-0.10
